,primitive,message length,n,offline_time,online_time,combined_time,online_data,combined_data,offline_data,avg_offline_time,avg_online_time,avg_combined_time,avg_online_data,avg_offline_data,avg_combined_data
0,htmac-skinny-128-256,8,1000,784.5799999999999,9.16377,1345.64,206.714,69061.7,68854.98599999999,0.7845799999999999,0.00916377,1.3456400000000002,0.206714,68.854986,69.0617
0,htmac-skinny-128-256,128,100,359.69,4.19206,601.87,92.2627,30830.4,30738.137300000002,3.5968999999999998,0.041920599999999995,6.0187,0.922627,307.381373,308.30400000000003
0,htmac-skinny-128-256,500,100,1291.59,14.6005,2206.38,337.718,112836.0,112498.282,12.915899999999999,0.146005,22.0638,3.37718,1124.9828200000002,1128.36
0,eevee-fk-128-256,8,1000,623.98,7.33987,1067.05,164.282,54884.7,54720.418,0.62398,0.00733987,1.06705,0.164282,54.720417999999995,54.884699999999995
0,eevee-fk-128-256,128,100,488.03000000000003,5.88695,848.046,129.908,43405.6,43275.691999999995,4.8803,0.0588695,8.48046,1.2990799999999998,432.75692,434.056
0,eevee-fk-128-256,500,10,206.77,2.59573,337.542,51.8981,17340.7,17288.801900000002,20.677,0.259573,33.7542,5.18981,1728.8801900000003,1734.0700000000002
0,jolteon-fk-128-256,8,1000,622.36,7.33802,1071.93,164.282,54884.7,54720.418,0.62236,0.00733802,1.07193,0.164282,54.720417999999995,54.884699999999995
0,jolteon-fk-128-256,128,500,1695.41,19.1471,2893.77,443.905,148313.0,147869.095,3.39082,0.038294199999999994,5.78754,0.88781,295.73819,296.626
0,jolteon-fk-128-256,500,100,1306.01,14.971,2193.13,336.848,112547.0,112210.152,13.0601,0.14971,21.9313,3.36848,1122.10152,1125.47
0,eevee-fk-64-192,8,1000,264.35,4.37865,449.806,73.1448,23081.4,23008.255200000003,0.26435000000000003,0.00437865,0.449806,0.07314480000000001,23.008255200000004,23.081400000000002
0,eevee-fk-64-192,128,500,2124.12,23.4276,3532.75,545.602,181958.0,181412.398,4.24824,0.04685520000000001,7.0655,1.0912039999999998,362.824796,363.916
0,eevee-fk-64-192,500,10,171.45999999999998,2.35596,280.252,42.9713,14320.6,14277.628700000001,17.145999999999997,0.235596,28.0252,4.29713,1427.76287,1432.06
0,jolteon-fk-64-192,8,1000,265.32,4.38564,449.639,73.1448,23081.4,23008.255200000003,0.26532,0.0043856400000000005,0.449639,0.07314480000000001,23.008255200000004,23.081400000000002
0,jolteon-fk-64-192,128,500,1369.8400000000001,17.3084,2337.6,360.224,119237.0,118876.776,2.7396800000000003,0.034616799999999996,4.6752,0.720448,237.75355199999998,238.474
0,jolteon-fk-64-192,500,10,108.57,1.48841,178.73,27.3781,9133.33,9105.9519,10.857,0.148841,17.872999999999998,2.73781,910.59519,913.333
0,espeon-fk-128-384,8,500,362.47999999999996,4.47119,623.219,95.1971,31807.3,31712.102899999998,0.7249599999999999,0.00894238,1.2464380000000002,0.1903942,63.424205799999996,63.614599999999996
0,espeon-fk-128-384,128,100,395.33,4.94009,673.486,103.578,34607.5,34503.922,3.9533,0.0494009,6.73486,1.03578,345.03922,346.075
0,espeon-fk-128-384,500,10,155.82,2.1086,257.034,39.3424,13148.9,13109.5576,15.581999999999999,0.21086,25.7034,3.93424,1310.95576,1314.8899999999999
0,pmac-skinny-128-256,8,1000,1200.57,13.9033,2031.8,311.227,103959.0,103647.773,1.20057,0.0139033,2.0318,0.311227,103.647773,103.959
0,pmac-skinny-128-256,128,500,3343.38,35.622,5673.74,872.006,291174.0,290301.994,6.6867600000000005,0.071244,11.34748,1.744012,580.603988,582.348
0,pmac-skinny-128-256,500,10,260.15999999999997,3.29416,435.304,66.561,22225.4,22158.839,26.016,0.32941600000000004,43.5304,6.6561,2215.8839,2222.54
